InvoiceNo,SKU,Quantity,Discount,Order Date,Order Month,Order Year,Customer ID,Payment Method,SalesChannel,Shipping Date,Shipping Month,Shipping Year,Product Category,Subcategory,Season,Product Gender,Price,Cost,Country,Customer Name,Customer Gender,Age,ShipmentProvider,Warehouse,Priority
100330,ACC-AS-F-600211870,"	1",0.2,6/1/2020,1,2020,22673, paypall,In Store ,1/6/2020,1,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Belgium,Mathilde Benoit,Female,36,,,
100330,ACC-AS-F-600211870,"	1",0.2,6/1/2020,1,2020,22673, paypall,In Store ,6\1\2020,1,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Belgium,Mathilde Benoit,@female,36,,,
101056,ACC-AS-F-600211870,"	1",0.2,13/2/2020,2,2020,57570,paypall,In Store ,2/13/2020,2,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Norway,Ida Kristiansen,Female,26,,,
105614,ACC-AS-F-600211870,"	1",0.2,2/6/2020,6,2020,13709, paypall,In Store,2\6\2020,6,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,United Kingdom,Mrs Jenna Fuller,Female,18,,,
106012,ACC-AS-F-600211870,"	1",0.2,12/6/2020,6,2020,79434, paypall,In Store ,12\6\2020,6,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Portugal,Lusa Castro,Female,20,,,
106054,ACC-AS-F-600211870,"	1",0.2,30/6/2020,6,2020,55000,paypall ,In Store,30\6\2020,6,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Italy,Monica Nadi,@female,40,,,
114049,ACC-AS-F-600211870,"	1",0.2,20/12/2020,12,2020,85154, paypall,In Store,20\12\2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Netherlands,Fay van Wel-Heijmans,Female,25,,,
114196,ACC-AS-F-600211870,"	1",0.2,27/12/2020,12,2020,10484,paypall,In Store ,12/27/2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Italy,Martina Morabito-Visintini,@female,57,,,
114498,ACC-AS-F-600211870,"	1",0.2,2/12/2020,12,2020,94525,paypall,In Store ,12/2/2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,France,Nomi Delannoy,@female,31,,,
114739,ACC-AS-F-600211870,"	1",0.2,13/12/2020,12,2020,84054, paypall ,In Store ,13\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,France,Arnaude-Laurence Caron,Female,19,,,
114857,ACC-AS-F-600211870,"	1",0.2,4/12/2020,12,2020,33893, paypall ,In Store ,12/4/2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Belgium,Alex Collet,@female,23,,,
100027,ACC-AS-F-600211870,"	1",0.2,14/1/2020,1,2020,87832,paypall,In Store,1/14/2020,1,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Sweden,Urban Strmberg,@male,27,,,
100734,ACC-AS-F-600211870,"	1",0.2,27/1/2020,1,2020,39228, paypall ,In Store,27\1\2020,1,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Norway,Ingrid Tveit,Male,49,,,
100876,ACC-AS-F-600211870,"	1",0.2,10/2/2020,2,2020,20589,paypall ,In Store,2/10/2020,2,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Netherlands,Amlie van Nes-van Susa,Male,54,,,
105869,ACC-AS-F-600211870,"	1",0.2,30/6/2020,6,2020,78646, paypall ,In Store,30\6\2020,6,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Netherlands,Mustafa Volcke,Male,35,,,
105945,ACC-AS-F-600211870,"	1",0.2,1/6/2020,6,2020,67852,paypall ,In Store ,6/1/2020,6,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Portugal,Noa Reis,@male,23,,,
106117,ACC-AS-F-600211870,"	1",0.2,8/6/2020,6,2020,57101, paypall,In Store ,8\6\2020,6,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Spain,Buenaventura de Verdejo,@male,29,,,
107422,ACC-AS-F-600211870,"	1",0.2,24/8/2020,8,2020,79528,paypall ,In Store ,8/24/2020,8,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Sweden,ke Andersson,Male,26,,,
113792,ACC-AS-F-600211870,"	1",0.2,5/12/2020,12,2020,31015, paypall,In Store,5\12\2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Netherlands,Mark Linschoten-de Jong,Male,28,,,
114373,ACC-AS-F-600211870,"	1",0.2,3/12/2020,12,2020,61436, paypall ,In Store ,3\12\2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,France,Roger Dumas,Male,45,,,
100870,ACC-AS-F-600211870,"	1",0.2,11/2/2020,2,2020,24997,Cash ,In Store ,11\2\2020,2,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,France,Valentine Lenoir de Renard,@female,25,,,
100905,ACC-AS-F-600211870,"	1",0.2,8/2/2020,2,2020,91504,Cash,In Store ,2/8/2020,2,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,United States,Robin Smith,Female,24,,,
101299,ACC-AS-F-600211870,"	1",0.2,13/2/2020,2,2020,49622, Cash,In Store,13\2\2020,2,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Sweden,Ulla Ljungberg,Female,27,,,
107791,ACC-AS-F-600211870,"	1",0.2,12/8/2020,8,2020,61135,Cash ,In Store,12\8\2020,8,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Spain,Nereida Caete Fabregat,@female,60,,,
107818,ACC-AS-F-600211870,"	1",0.2,10/8/2020,8,2020,98180, Cash,In Store ,10\8\2020,8,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Sweden,Linda Lundberg,@female,33,,,
107950,ACC-AS-F-600211870,"	1",0.2,13/8/2020,8,2020,33929, Cash ,In Store ,8/13/2020,8,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Netherlands,Sam Massa-van Gastel,@female,24,,,
108341,ACC-AS-F-600211870,"	1",0.2,23/8/2020,8,2020,99864,Cash ,In Store,8/23/2020,8,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Belgium,Sophie Richard,Female,35,,,
113370,ACC-AS-F-600211870,"	1",0.2,27/12/2020,12,2020,30811,Cash,In Store ,27\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Spain,Ana Sofa de Comas,Female,41,,,
113836,ACC-AS-F-600211870,"	1",0.2,17/12/2020,12,2020,54312,Cash ,In Store,12/17/2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Australia,Melissa Simon,@female,40,,,
114251,ACC-AS-F-600211870,"	1",0.2,14/12/2020,12,2020,20401,Cash ,In Store,12/14/2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Spain,Carina Riera Garzn,Female,41,,,
114379,ACC-AS-F-600211870,"	1",0.2,20/12/2020,12,2020,51852,Cash ,In Store ,12/20/2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Portugal,Vitria Amaral,@female,49,,,
114518,ACC-AS-F-600211870,"	1",0.2,16/12/2020,12,2020,30689,Cash ,In Store ,16\12\2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Spain,Aroa Valderrama Zorrilla,Female,36,,,
114518,ACC-AS-F-600211870,"	1",0.2,16/12/2020,12,2020,30689,Cash,In Store,16\12\2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Spain,Aroa Valderrama Zorrilla,Female,36,,,
114760,ACC-AS-F-600211870,"	1",0.2,16/12/2020,12,2020,21238,Cash,In Store,12/16/2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,United States,Mary Maldonado,Female,26,,,
114881,ACC-AS-F-600211870,"	1",0.2,15/12/2020,12,2020,89050, Cash,In Store ,15\12\2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Germany,Albina Meyer,Female,37,,,
100259,ACC-AS-F-600211870,"	1",0.2,29/1/2020,1,2020,81760,Cash,In Store ,1/29/2020,1,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Germany,Kamil Killer,@male,27,,,
100666,ACC-AS-F-600211870,"	1",0.2,5/1/2020,1,2020,84389, Cash ,In Store ,5\1\2020,1,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,United Kingdom,Lewis Rowe,Male,39,,,
100706,ACC-AS-F-600211870,"	1",0.2,8/1/2020,1,2020,87313, Cash,In Store,8\1\2020,1,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Belgium,Guy Cousin,Male,28,,,
101093,ACC-AS-F-600211870,"	1",0.2,17/2/2020,2,2020,97177,Cash ,In Store,2/17/2020,2,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Norway,Trond Johansen,Male,40,,,
106058,ACC-AS-F-600211870,"	1",0.2,10/6/2020,6,2020,45504, Cash,In Store ,6/10/2020,6,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Belgium,Marcel-Alphonse Hubert,@male,25,,,
106218,ACC-AS-F-600211870,"	1",0.2,26/6/2020,6,2020,83202, Cash,In Store,6/26/2020,6,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Sweden,Birger Mnsson,Male,46,,,
110860,ACC-AS-F-600211870,"	1",0.2,1/12/2020,12,2020,25576,Cash ,In Store ,12/1/2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Germany,Guenter Fliegner,Male,54,,,
113670,ACC-AS-F-600211870,"	1",0.2,6/12/2020,12,2020,65647,Cash ,In Store,6\12\2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Germany,Ernest Mitschke B.A.,@male,48,,,
113848,ACC-AS-F-600211870,"	1",0.2,2/12/2020,12,2020,20667,Cash,In Store ,12/2/2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,France,Pierre-Christophe Poirier,@male,26,,,
113909,ACC-AS-F-600211870,"	1",0.2,3/12/2020,12,2020,84252,Cash,In Store ,3\12\2020,12,2020,Accessories,Watches,All Seasons,Woma,205,92.05042191,Norway,Kristin Nygrd-Abrahamsen,@male,25,,,
114025,ACC-AS-F-600211870,"	1",0.2,15/12/2020,12,2020,39816,Cash ,In Store ,12/15/2020,12,2020,Accessories,Watches,All Seasons,Woman,205,92.05042191,Australia,Kevin Johnson,Male,58,,,
114239,ACC-AS-F-600211870,"	1",0.2,26/12/2020,12,2020,67937, Cash ,In Store ,12/26/2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Spain,Gabriel Palacios Montero,@male,43,,,
114558,ACC-AS-F-600211870,"	1",0.2,13/12/2020,12,2020,28344,Cash,In Store,13\12\2020,12,2020,Accessories,Watches,All Seasons,Women,205,92.05042191,Portugal,Bernardo Almeida,Male,24,,,
100638,ACC-AS-F-600211900,"	1",0.2,10/1/2020,1,2020,65424, Cash ,In Store ,10\1\2020,1,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,United States,Daniel Lopez,Male,39,,,
100842,ACC-AS-F-600211900,"	1",0.2,23/2/2020,2,2020,90431, Cash ,In Store,2/23/2020,2,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Norway,Cathrine Hauge,Male,43,,,
101017,ACC-AS-F-600211900,"	1",0.2,12/2/2020,2,2020,48836, Cash,In Store,12\2\2020,2,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,France,Antoine Le Bernier,Male,59,,,
101133,ACC-AS-F-600211900,"	1",0.2,26/2/2020,2,2020,85627, Cash ,In Store ,2/26/2020,2,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Italy,Dott. Leonardo Dallara,Male,42,,,
105539,ACC-AS-F-600211900,"	1",0.2,26/6/2020,6,2020,57550,Cash ,In Store ,26\6\2020,6,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,France,Tristan-Daniel Herv,@male,18,,,
105708,ACC-AS-F-600211900,"	1",0.2,25/6/2020,6,2020,22016,Cash ,In Store ,25\6\2020,6,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Portugal,Joaquim Silva,Male,39,,,
106325,ACC-AS-F-600211900,"	1",0.2,8/6/2020,6,2020,31745,Cash ,In Store,6/8/2020,6,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Spain,Cleto Rodrigo Escudero,Male,26,,,
107864,ACC-AS-F-600211900,"	1",0.2,8/8/2020,8,2020,71772, Cash,In Store,8/8/2020,8,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Belgium,Matthieu Costa,@male,18,,,
107937,ACC-AS-F-600211900,"	1",0.2,14/8/2020,8,2020,51558,Cash ,In Store ,8/14/2020,8,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Netherlands,Ashley Jacobs,Male,18,,,
108028,ACC-AS-F-600211900,"	1",0.2,16/8/2020,8,2020,89309, Cash,In Store,8/16/2020,8,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Portugal,Leonardo Nunes,@male,42,,,
113214,ACC-AS-F-600211900,"	1",0.2,12/12/2020,12,2020,25274, Cash,In Store,12/12/2020,12,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,Australia,Scott Blackburn,@male,56,,,
113240,ACC-AS-F-600211900,"	1",0.2,11/12/2020,12,2020,12585,Cash,In Store ,12/11/2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Germany,Herr Stefan Trupp B.A.,Male,48,,,
113559,ACC-AS-F-600211900,"	1",0.2,23/12/2020,12,2020,83173,Cash ,In Store ,23\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Portugal,Isaac Magalhes,@male,46,,,
100019,ACC-AS-F-600211900,"	1",0.2,10/1/2020,1,2020,29371, Cash ,In Store ,10\1\2020,1,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,Portugal,Ana Henriques,Female,25,,,
100516,ACC-AS-F-600211900,"	1",0.2,20/1/2020,1,2020,80433, Cash,In Store,20\1\2020,1,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Germany,Augusta Schmiedt,@female,53,,,
100781,ACC-AS-F-600211900,"	1",0.2,8/2/2020,2,2020,11416,Cash ,In Store ,8\2\2020,2,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,Netherlands,Tijn Olykan,@female,35,,,
101261,ACC-AS-F-600211900,"	1",0.2,27/2/2020,2,2020,26880,Cash ,In Store,27\2\2020,2,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Italy,Silvia Bandello,@female,44,,,
105792,ACC-AS-F-600211900,"	1",0.2,21/6/2020,6,2020,97278, Cash,In Store,21\6\2020,6,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,France,Jacqueline Germain,@female,22,,,
105940,ACC-AS-F-600211900,"	1",0.2,4/6/2020,6,2020,53575,Cash,In Store ,6/4/2020,6,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,Portugal,Renata Paiva-Moreira,Female,51,,,
106073,ACC-AS-F-600211900,"	1",0.2,10/6/2020,6,2020,95107, Cash,In Store,6/10/2020,6,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,Australia,Kelly Walker,Female,22,,,
106119,ACC-AS-F-600211900,"	1",0.2,25/6/2020,6,2020,82411, Cash ,In Store,6/25/2020,6,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,Portugal,Mariana Freitas,Female,56,,,
107643,ACC-AS-F-600211900,"	1",0.2,8/8/2020,8,2020,99431,Cash ,In Store,8\8\2020,8,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Norway,Sindre Nguyen,Female,49,,,
107667,ACC-AS-F-600211900,"	1",0.2,1/8/2020,8,2020,84531, Cash,In Store,8/1/2020,8,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Australia,Tanya Gross,@female,26,,,
107828,ACC-AS-F-600211900,"	1",0.2,3/8/2020,8,2020,36190, Cash ,In Store ,3\8\2020,8,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,United States,Susan Bean,Female,55,,,
107828,ACC-AS-F-600211900,"	1",0.2,3/8/2020,8,2020,36190, Cash,In Store ,8/3/2020,8,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,United States,Susan Bean,Female,55,,,
108213,ACC-AS-F-600211900,"	1",0.2,2/8/2020,8,2020,48666,Cash ,In Store ,8/2/2020,8,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,Germany,Anneke Keudel,@female,39,,,
113405,ACC-AS-F-600211900,"	1",0.2,8/12/2020,12,2020,13264,Cash ,In Store,8\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,United States,Margaret Davis,@female,19,,,
114188,ACC-AS-F-600211900,"	1",0.2,2/12/2020,12,2020,79288, Cash ,In Store ,2\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Portugal,Gabriela Maia,@female,40,,,
115046,ACC-AS-F-600211900,"	1",0.2,5/12/2020,12,2020,12695, Cash,In Store,5\12\2020,12,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,Netherlands,Los van Goerle,@female,44,,,
100209,ACC-AS-F-600211900,"	1",0.2,21/1/2020,1,2020,89398, Credit Card,In Store,21\1\2020,1,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Netherlands,Lieve Wever,@male,28,,,
100927,ACC-AS-F-600211900,"	1",0.2,12/2/2020,2,2020,26419, Credit Card ,In Store,12\2\2020,2,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Italy,Aldo Cavalcanti,Male,18,,,
101170,ACC-AS-F-600211900,"	1",0.2,14/2/2020,2,2020,58038, Credit Card,In Store ,14\2\2020,2,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Germany,Aribert Wilms,@male,58,,,
108382,ACC-AS-F-600211900,"	1",0.2,11/8/2020,8,2020,85270,Credit Card ,In Store ,11\8\2020,8,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,Sweden,Juhani Abrahamsson,@male,44,,,
112804,ACC-AS-F-600211900,"	1",0.2,1/12/2020,12,2020,15836,Credit Card ,In Store ,12/1/2020,12,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,Netherlands,Jason Blonk,Male,42,,,
113406,ACC-AS-F-600211900,"	1",0.2,21/12/2020,12,2020,10439,Credit Card,In Store,12/21/2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,United Kingdom,Sara Clark,@male,45,,,
113516,ACC-AS-F-600211900,"	1",0.2,30/12/2020,12,2020,57787, Credit Card ,In Store,30\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Sweden,Bengt Jnsson,@male,39,,,
114397,ACC-AS-F-600211900,"	1",0.2,16/12/2020,12,2020,77422,Credit Card,In Store,12/16/2020,12,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,Portugal,Alexandre Gomes,@male,32,,,
114619,ACC-AS-F-600211900,"	1",0.2,31/12/2020,12,2020,88430,Credit Card,In Store,12/31/2020,12,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,Belgium,Frdric Perrot,@male,48,,,
100637,ACC-AS-F-600211900,"	1",0.2,23/1/2020,1,2020,18413,Credit Card,In Store ,1/23/2020,1,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,Australia,Elizabeth Watson,@female,50,,,
100794,ACC-AS-F-600211900,"	1",0.2,1/2/2020,2,2020,37122,Credit Card,In Store,2/1/2020,2,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,Italy,Laura Bernardi,Female,53,,,
100916,ACC-AS-F-600211900,"	1",0.2,12/2/2020,2,2020,56829,Credit Card,In Store,12\2\2020,2,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,United Kingdom,Ms Tracy Jones,@female,26,,,
101196,ACC-AS-F-600211900,"	1",0.2,6/2/2020,2,2020,52841,Credit Card ,In Store,2/6/2020,2,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Spain,Eligia Bravo Sosa,Female,36,,,
105794,ACC-AS-F-600211900,"	1",0.2,10/6/2020,6,2020,64905, Credit Card,In Store,6/10/2020,6,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Italy,Carla Zanichelli,Female,32,,,
105641,ACC-AS-F-600211900,"	1",0.2,2/6/2020,6,2020,88272, Credit Card,In Store ,2\6\2020,6,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Netherlands,Veerle Jochems-Bruynzeels,@female,41,,,
106321,ACC-AS-F-600211900,"	1",0.2,24/6/2020,6,2020,36285,Credit Card,In Store,6/24/2020,6,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Australia,Paige Wheeler,Female,33,,,
110107,ACC-AS-F-600211900,"	1",0.2,1/12/2020,12,2020,29837, Credit Card,In Store ,12/1/2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Norway,Tor Berntsen,Female,59,,,
100173,ACC-AS-F-600211900,"	1",0.2,1/1/2020,1,2020,69411,paypall ,In Store,1/1/2020,1,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,United Kingdom,James Russell-Gibson,@female,39,,,
100252,ACC-AS-F-600211900,"	1",0.2,14/1/2020,1,2020,86996,paypall ,In Store,14\1\2020,1,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,France,Christine Lefebvre,Female,57,,,
100365,ACC-AS-F-600211900,"	1",0.2,23/1/2020,1,2020,96966, paypall ,In Store ,23\1\2020,1,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Germany,Frida Faust,Female,57,,,
100511,ACC-AS-F-600211900,"	1",0.2,6/1/2020,1,2020,59020, paypall,In Store,1/6/2020,1,2020,Accessories,Watches,All Seasons,Woma,802,353.2226567,United Kingdom,Jack Williams,Female,42,,,
105899,ACC-AS-F-600211900,"	1",0.2,22/6/2020,6,2020,74193,paypall,In Store,6/22/2020,6,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Norway,Harald Aas,Female,58,,,
106461,ACC-AS-F-600211900,"	1",0.2,1/6/2020,6,2020,85776,paypall,In Store ,6/1/2020,6,2020,Accessories,Watches,All Seasons,Women,802,353.2226567,Australia,Theresa Salazar,Female,52,,,
113318,ACC-AS-F-600211900,"	1",0.2,16/12/2020,12,2020,36306, paypall,In Store,16\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,United Kingdom,Lynda Perkins-Jenkins,@female,46,,,
113507,ACC-AS-F-600211900,"	1",0.2,21/12/2020,12,2020,81935,paypall ,In Store,12/21/2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Australia,Amanda Martin,Female,26,,,
114846,ACC-AS-F-600211900,"	1",0.2,21/12/2020,12,2020,39165,paypall,In Store,21\12\2020,12,2020,Accessories,Watches,All Seasons,Woman,802,353.2226567,Sweden,Gun Johansson,Female,59,,,
